epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1967.17,0.78562,0.41425,0.00773,0.95737,0.85276,0.9562,0.7974,0.64653,0.46279,0.00557,0.0014588,0.0014588,0.0014588
43,2009.88,0.80241,0.41031,0.00769,0.943,0.83765,0.95257,0.77812,0.71306,0.53443,0.00595,0.0014456,0.0014456,0.0014456
44,2050.96,0.82298,0.41984,0.00705,0.9003,0.92405,0.95257,0.79032,0.69144,0.46636,0.00645,0.0014324,0.0014324,0.0014324
45,2090.37,0.80198,0.41474,0.00718,0.9534,0.90637,0.95837,0.80083,0.64186,0.42219,0.00543,0.0014192,0.0014192,0.0014192
46,2126.87,0.7829,0.39502,0.00673,0.94825,0.93038,0.96525,0.7901,0.72805,0.37745,0.00703,0.001406,0.001406,0.001406
47,2180.74,0.789,0.40589,0.00698,0.92508,0.93786,0.9653,0.78231,0.6976,0.45516,0.00601,0.0013928,0.0013928,0.0013928
48,2240.43,0.79314,0.40807,0.00706,0.93563,0.91999,0.96293,0.80828,0.65236,0.40018,0.00546,0.0013796,0.0013796,0.0013796
49,2281.09,0.76672,0.37981,0.00649,0.91117,0.90886,0.93995,0.79295,0.67889,0.48108,0.00594,0.0013664,0.0013664,0.0013664
50,2323.17,0.76441,0.40067,0.00715,0.96494,0.86709,0.94516,0.81708,0.59169,0.43603,0.00503,0.0013532,0.0013532,0.0013532
51,2377.73,0.767,0.38527,0.00664,0.95239,0.88629,0.95474,0.82828,0.59451,0.42694,0.00553,0.00134,0.00134,0.00134
52,2429.42,0.77414,0.38139,0.00649,0.94023,0.89607,0.92791,0.74374,0.75432,0.47723,0.00701,0.0013268,0.0013268,0.0013268
53,2482.49,0.76884,0.38886,0.00684,0.94021,0.92405,0.96902,0.81183,0.63033,0.37804,0.00554,0.0013136,0.0013136,0.0013136
54,2528.63,0.76191,0.37513,0.00699,0.96765,0.88608,0.96331,0.80556,0.66807,0.39257,0.00595,0.0013004,0.0013004,0.0013004
55,2581.25,0.74941,0.35525,0.00686,0.96299,0.92405,0.95834,0.84466,0.58518,0.40492,0.00522,0.0012872,0.0012872,0.0012872
56,2632.95,0.7346,0.37554,0.00621,0.96804,0.88608,0.95689,0.84299,0.58219,0.40857,0.00529,0.001274,0.001274,0.001274
57,2680.48,0.72927,0.34695,0.00626,0.95894,0.91772,0.95548,0.83648,0.58708,0.38706,0.00481,0.0012608,0.0012608,0.0012608
58,2720.81,0.74938,0.38178,0.00664,0.91728,0.93671,0.95076,0.82364,0.63906,0.4104,0.00544,0.0012476,0.0012476,0.0012476
59,2762.79,0.75027,0.36774,0.0064,0.94123,0.91222,0.9596,0.82348,0.62472,0.37679,0.00476,0.0012344,0.0012344,0.0012344
60,2802.95,0.75104,0.37126,0.00613,0.96618,0.91139,0.96279,0.83701,0.59312,0.37473,0.00503,0.0012212,0.0012212,0.0012212
61,2848.63,0.70873,0.34396,0.00617,0.93355,0.93038,0.94895,0.83843,0.56091,0.42917,0.00491,0.001208,0.001208,0.001208
62,2887.24,0.70462,0.35248,0.00615,0.96545,0.92405,0.95893,0.79945,0.66214,0.40148,0.00577,0.0011948,0.0011948,0.0011948
63,2929.24,0.72938,0.358,0.00641,0.95432,0.93671,0.97215,0.829,0.57975,0.36217,0.00468,0.0011816,0.0011816,0.0011816
64,2975.31,0.71528,0.32914,0.00585,0.96,0.92405,0.96037,0.83842,0.54847,0.39476,0.00423,0.0011684,0.0011684,0.0011684
65,3017.06,0.71064,0.32228,0.0063,0.96191,0.93671,0.96512,0.83887,0.55996,0.38385,0.00503,0.0011552,0.0011552,0.0011552
66,3053.55,0.71222,0.34994,0.00629,0.94584,0.93671,0.95784,0.82912,0.62501,0.40598,0.00565,0.001142,0.001142,0.001142
67,3096.6,0.69061,0.33935,0.00589,0.95132,0.86585,0.94754,0.79554,0.65826,0.45712,0.00605,0.0011288,0.0011288,0.0011288
68,3135.96,0.68024,0.3404,0.00616,0.8984,0.95138,0.95828,0.82372,0.60474,0.39105,0.00467,0.0011156,0.0011156,0.0011156
69,3173.89,0.70025,0.36803,0.0061,0.95632,0.91139,0.96674,0.83858,0.58496,0.34858,0.00477,0.0011024,0.0011024,0.0011024
70,3217.63,0.67162,0.3303,0.00572,0.94056,0.94304,0.95695,0.83112,0.57791,0.39252,0.00466,0.0010892,0.0010892,0.0010892
71,3260.9,0.69788,0.3378,0.00637,0.97188,0.87495,0.95045,0.81621,0.63008,0.4588,0.00594,0.001076,0.001076,0.001076
72,3303.29,0.70121,0.3437,0.00592,0.94598,0.93038,0.96048,0.83904,0.58224,0.40667,0.00505,0.0010628,0.0010628,0.0010628
73,3347.76,0.69336,0.33208,0.00573,0.94239,0.91772,0.96034,0.84434,0.56717,0.40449,0.00461,0.0010496,0.0010496,0.0010496
74,3407.34,0.6867,0.33006,0.00551,0.96739,0.9388,0.96329,0.87083,0.47523,0.40809,0.00405,0.0010364,0.0010364,0.0010364
75,3446.11,0.65391,0.3029,0.00609,0.97314,0.91729,0.96523,0.85647,0.54387,0.35453,0.00464,0.0010232,0.0010232,0.0010232
76,3483.29,0.68164,0.33676,0.00577,0.9488,0.93827,0.96044,0.87857,0.46647,0.36965,0.00394,0.00101,0.00101,0.00101
77,3517.39,0.66636,0.32001,0.00587,0.94837,0.93003,0.95948,0.85994,0.53832,0.37734,0.00432,0.0009968,0.0009968,0.0009968
78,3563.02,0.66631,0.33137,0.00576,0.95355,0.93671,0.95649,0.87451,0.47264,0.37445,0.00372,0.0009836,0.0009836,0.0009836
79,3598.82,0.64661,0.30871,0.00564,0.96111,0.93038,0.95543,0.82858,0.58595,0.37955,0.00524,0.0009704,0.0009704,0.0009704
80,3634.18,0.66844,0.32467,0.0055,0.93001,0.92504,0.95298,0.86266,0.49183,0.38318,0.00396,0.0009572,0.0009572,0.0009572
81,3667.18,0.65727,0.31615,0.00582,0.95396,0.92405,0.95029,0.8545,0.51361,0.40712,0.00414,0.000944,0.000944,0.000944
82,3712.24,0.66349,0.32275,0.00572,0.95164,0.92405,0.95322,0.85598,0.52355,0.40271,0.00413,0.0009308,0.0009308,0.0009308
83,3748.56,0.64354,0.3034,0.00566,0.93097,0.93893,0.95923,0.8748,0.48656,0.39418,0.00416,0.0009176,0.0009176,0.0009176
84,3792.86,0.67112,0.30525,0.0056,0.94567,0.92405,0.9599,0.84074,0.55196,0.39262,0.00478,0.0009044,0.0009044,0.0009044
85,3840.75,0.64913,0.31377,0.00541,0.93555,0.93038,0.96025,0.86308,0.51797,0.38456,0.00482,0.0008912,0.0008912,0.0008912
86,3893.11,0.6701,0.31778,0.00527,0.94891,0.94034,0.95578,0.86323,0.50671,0.39169,0.00449,0.000878,0.000878,0.000878
87,3937.22,0.65592,0.30776,0.00547,0.92726,0.93038,0.94855,0.8309,0.55873,0.38626,0.00459,0.0008648,0.0008648,0.0008648
88,3968.91,0.62436,0.30268,0.00512,0.95491,0.93838,0.95896,0.86205,0.50956,0.34644,0.00437,0.0008516,0.0008516,0.0008516
89,4003.96,0.62843,0.30995,0.00538,0.95202,0.93671,0.96022,0.86683,0.49534,0.33545,0.00449,0.0008384,0.0008384,0.0008384
90,4043.63,0.63635,0.29199,0.00517,0.95951,0.91772,0.96199,0.8713,0.46426,0.36169,0.00384,0.0008252,0.0008252,0.0008252
91,4077.83,0.60808,0.2843,0.00527,0.96637,0.90942,0.95584,0.87243,0.49312,0.38519,0.0039,0.000812,0.000812,0.000812
92,4114.88,0.61235,0.30035,0.00547,0.94571,0.93671,0.95698,0.88726,0.45142,0.37135,0.00362,0.0007988,0.0007988,0.0007988
93,4159.19,0.62962,0.28282,0.00537,0.94487,0.92405,0.95951,0.87176,0.47218,0.38348,0.0039,0.0007856,0.0007856,0.0007856
94,4192.01,0.6377,0.30405,0.00535,0.9613,0.94338,0.96353,0.87904,0.46099,0.35572,0.00365,0.0007724,0.0007724,0.0007724
95,4222.22,0.61043,0.28655,0.00532,0.95934,0.93671,0.96834,0.8973,0.44086,0.3435,0.00345,0.0007592,0.0007592,0.0007592
96,4254.33,0.61944,0.28954,0.00514,0.95555,0.95249,0.96403,0.89282,0.42051,0.33524,0.00339,0.000746,0.000746,0.000746
97,4287.53,0.59972,0.28811,0.00506,0.94798,0.92264,0.96746,0.89476,0.42664,0.33235,0.00335,0.0007328,0.0007328,0.0007328
98,4321.61,0.63432,0.29552,0.0048,0.95255,0.94304,0.96025,0.86182,0.50515,0.35356,0.00392,0.0007196,0.0007196,0.0007196
99,4359.57,0.60362,0.27808,0.00494,0.94065,0.94304,0.95443,0.86903,0.47389,0.36264,0.00384,0.0007064,0.0007064,0.0007064
100,4392.88,0.59454,0.26565,0.00487,0.97016,0.94304,0.95363,0.87946,0.43068,0.37453,0.00348,0.0006932,0.0006932,0.0006932
101,4425.83,0.61036,0.28268,0.00507,0.96742,0.93957,0.9625,0.90194,0.40358,0.35941,0.00314,0.00068,0.00068,0.00068
102,4455.22,0.58842,0.27768,0.00516,0.93064,0.93412,0.95358,0.87964,0.45017,0.41016,0.00375,0.0006668,0.0006668,0.0006668
103,4483.67,0.6049,0.27129,0.00513,0.94772,0.94304,0.95976,0.88852,0.45187,0.3804,0.00341,0.0006536,0.0006536,0.0006536
104,4515.5,0.59441,0.27093,0.00509,0.94228,0.93038,0.95595,0.88187,0.4433,0.38293,0.00348,0.0006404,0.0006404,0.0006404
