epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4207.3,0.67321,0.32087,0.01021,0.94356,0.94278,0.96181,0.7433,0.89618,0.41197,0.02327,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,4334.32,0.66026,0.31681,0.01003,0.93258,0.94228,0.96782,0.74399,0.95259,0.40707,0.02591,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,4459.62,0.66911,0.31798,0.0102,0.95801,0.93262,0.96545,0.75813,0.85102,0.39092,0.02148,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4584.62,0.66727,0.31807,0.01,0.95066,0.94498,0.97265,0.75055,0.9046,0.39477,0.02389,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4709.38,0.66475,0.32156,0.01028,0.94816,0.94693,0.96299,0.74236,0.93357,0.40407,0.0248,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4834.56,0.66282,0.31868,0.01009,0.94204,0.95913,0.97405,0.76295,0.89094,0.37927,0.02281,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4959.45,0.65816,0.31222,0.01026,0.95084,0.95095,0.97211,0.75563,0.91588,0.3946,0.02418,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,5084,0.64575,0.30419,0.00983,0.9396,0.95095,0.96951,0.76054,0.90523,0.39427,0.02301,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,5209.18,0.65824,0.31389,0.01007,0.95459,0.94278,0.97131,0.75108,0.937,0.43275,0.02521,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,5349.45,0.63914,0.30378,0.00976,0.9474,0.93243,0.96143,0.75352,0.92363,0.43034,0.02401,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,5540.01,0.64209,0.30189,0.00969,0.92666,0.96399,0.97185,0.77558,0.82132,0.37511,0.02033,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,5664.93,0.63876,0.30956,0.00974,0.9544,0.94278,0.97325,0.74956,0.95039,0.40396,0.02531,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,5788.99,0.63369,0.3011,0.00963,0.93886,0.96238,0.9738,0.76357,0.87395,0.36565,0.02192,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,5912.27,0.61877,0.2924,0.00928,0.94226,0.93372,0.9583,0.73975,0.93781,0.44351,0.02472,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,6040.6,0.63631,0.31316,0.00984,0.94634,0.96108,0.97236,0.76749,0.85735,0.38395,0.02144,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,6169.42,0.62537,0.29359,0.00963,0.95515,0.96185,0.97159,0.76598,0.87432,0.36356,0.02176,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,6295.47,0.62373,0.29563,0.00947,0.92547,0.94823,0.97524,0.76926,0.83418,0.38246,0.02108,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,6422.03,0.62976,0.29491,0.00927,0.95737,0.94005,0.96814,0.76065,0.88495,0.39648,0.02231,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
